Days,Model,Mean_Accuracy,Std,CI95
100,IChing-Bayes,0.1210,0.0421,0.0369
100,IChing-Uniform,0.2550,0.1032,0.0905
100,IChing-Random,0.1050,0.0158,0.0139
100,Markov,0.2550,0.1032,0.0905
100,Neural-Net,0.1010,0.0095,0.0083
200,IChing-Bayes,0.0490,0.0478,0.0419
200,IChing-Uniform,0.2610,0.0804,0.0705
200,IChing-Random,0.1120,0.0130,0.0114
200,Markov,0.2610,0.0804,0.0705
200,Neural-Net,0.1320,0.0152,0.0133
500,IChing-Bayes,0.2270,0.1537,0.1347
500,IChing-Uniform,0.5070,0.0152,0.0133
500,IChing-Random,0.1260,0.0438,0.0384
500,Markov,0.5070,0.0152,0.0133
500,Neural-Net,0.1210,0.0403,0.0353
1000,IChing-Bayes,0.1390,0.0989,0.0867
1000,IChing-Uniform,0.4830,0.0206,0.0181
1000,IChing-Random,0.1790,0.0655,0.0574
1000,Markov,0.4830,0.0206,0.0181
1000,Neural-Net,0.2830,0.1559,0.1367
2000,IChing-Bayes,0.4010,0.1536,0.1346
2000,IChing-Uniform,0.4670,0.0196,0.0171
2000,IChing-Random,0.4330,0.1710,0.1499
2000,Markov,0.4670,0.0196,0.0171
2000,Neural-Net,0.3750,0.1313,0.1151
3000,IChing-Bayes,0.4680,0.1786,0.1565
3000,IChing-Uniform,0.4750,0.0197,0.0173
3000,IChing-Random,0.4570,0.1855,0.1626
3000,Markov,0.4750,0.0197,0.0173
3000,Neural-Net,0.4180,0.1355,0.1187
