Days,Model,Mean_Accuracy,Std,CI95
100,Trigram-Bayes,0.3589,0.0000,0.0000
100,Hexagram-Bayes,0.3562,0.0000,0.0000
100,Uniform-Trigram,0.3918,0.0000,0.0000
100,Random-Trigram,0.3715,0.0177,0.0155
100,Markov,0.3918,0.0000,0.0000
100,Neural-Net,0.2866,0.0295,0.0259
200,Trigram-Bayes,0.4329,0.0000,0.0000
200,Hexagram-Bayes,0.4301,0.0000,0.0000
200,Uniform-Trigram,0.4575,0.0000,0.0000
200,Random-Trigram,0.4373,0.0102,0.0089
200,Markov,0.4575,0.0000,0.0000
200,Neural-Net,0.3490,0.0385,0.0337
500,Trigram-Bayes,0.4849,0.0000,0.0000
500,Hexagram-Bayes,0.5014,0.0000,0.0000
500,Uniform-Trigram,0.4849,0.0000,0.0000
500,Random-Trigram,0.4866,0.0033,0.0029
500,Markov,0.4849,0.0000,0.0000
500,Neural-Net,0.4619,0.0203,0.0178
1000,Trigram-Bayes,0.5644,0.0000,0.0000
1000,Hexagram-Bayes,0.5370,0.0000,0.0000
1000,Uniform-Trigram,0.5644,0.0000,0.0000
1000,Random-Trigram,0.5655,0.0013,0.0012
1000,Markov,0.5644,0.0000,0.0000
1000,Neural-Net,0.5381,0.0201,0.0176
2000,Trigram-Bayes,0.4986,0.0000,0.0000
2000,Hexagram-Bayes,0.4575,0.0000,0.0000
2000,Uniform-Trigram,0.4959,0.0000,0.0000
2000,Random-Trigram,0.5052,0.0054,0.0047
2000,Markov,0.4959,0.0000,0.0000
2000,Neural-Net,0.4816,0.0136,0.0119
