Days,Model,Mean,Std
500,Tri-1d,0.4848,0.0000
500,Tri-2d,0.4683,0.0000
500,Tri-3d,0.4628,0.0000
500,Hex-1d,0.5014,0.0000
500,Hex-2d,0.4793,0.0000
500,Hex-3d,0.4986,0.0000
500,NN-1d,0.4727,0.0175
500,NN-2d,0.4694,0.0202
500,NN-3d,0.4711,0.0245
1000,Tri-1d,0.5620,0.0000
1000,Tri-2d,0.5096,0.0000
1000,Tri-3d,0.5344,0.0000
1000,Hex-1d,0.5344,0.0000
1000,Hex-2d,0.5207,0.0000
1000,Hex-3d,0.5262,0.0000
1000,NN-1d,0.5262,0.0130
1000,NN-2d,0.5124,0.0074
1000,NN-3d,0.5234,0.0046
2000,Tri-1d,0.5069,0.0000
2000,Tri-2d,0.4298,0.0000
2000,Tri-3d,0.3691,0.0000
2000,Hex-1d,0.4711,0.0000
2000,Hex-2d,0.4160,0.0000
2000,Hex-3d,0.3912,0.0000
2000,NN-1d,0.4865,0.0191
2000,NN-2d,0.4507,0.0075
2000,NN-3d,0.4149,0.0110
3000,Tri-1d,0.5455,0.0000
3000,Tri-2d,0.4628,0.0000
3000,Tri-3d,0.4904,0.0000
3000,Hex-1d,0.5482,0.0000
3000,Hex-2d,0.5069,0.0000
3000,Hex-3d,0.5262,0.0000
3000,NN-1d,0.5460,0.0059
3000,NN-2d,0.5251,0.0045
3000,NN-3d,0.5433,0.0044
